project,siteId,datetime,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,DRC13,2022-05-07T18:00:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.063888889,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T18:15:00Z,STIC,20220507-20221231,SW,20600961,18600.1,5.86,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T18:30:00Z,STIC,20220507-20221231,SW,20600961,18600.1,5.757222222,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T18:45:00Z,STIC,20220507-20221231,SW,20600961,18600.1,5.86,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T19:00:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.063888889,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T19:15:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T19:30:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T19:45:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T20:00:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T20:15:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T20:30:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T20:45:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T21:00:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T21:15:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T21:30:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T21:45:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
AIMS,DRC13,2022-05-07T22:00:00Z,STIC,20220507-20221231,SW,20600961,18600.1,6.166111111,169.9302631,1,excellent,NA,2022
