project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-06-16T02:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,7.782,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T02:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,7.882,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T03:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,8.182,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T03:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,8.382,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T02:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,NA,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T03:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,8.082,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T04:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,8.978,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T04:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,9.176,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T05:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,9.373,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T05:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,9.571,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T02:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,NA,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T05:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.866,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T06:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.866,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T03:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13089,7.983,57.64445895,1,excellent,NA,2023
AIMS,2023-06-16T06:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.965,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T06:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.063,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T07:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.063,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T04:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,8.581,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T04:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,8.779,60.95992629,1,excellent,NA,2023
AIMS,2023-06-16T07:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.651,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T08:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.748,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T08:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.944,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T08:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.041,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T08:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.139,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T09:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.236,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T09:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.236,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T09:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.236,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T09:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.139,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T10:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.139,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T10:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,11.041,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T10:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.944,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T10:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.846,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T11:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.748,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T11:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.553,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T11:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.455,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T11:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.357,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T12:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.259,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T12:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,10.063,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T12:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.965,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T12:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.866,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T13:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.669,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T13:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.571,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T13:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.472,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T13:45:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.373,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T14:00:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.176,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T14:15:00Z,STIC63,STIC,20230616-20230919,SW,21035965,14466.8,9.077,64.27539364,1,excellent,NA,2023
AIMS,2023-06-16T14:30:00Z,STIC63,STIC,20230616-20230919,SW,21035965,13777.9,8.978,60.95992629,1,excellent,NA,2023
