project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2024-09-06T03:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,12.401,278.3946198,1,excellent,NA,2024
AIMS,2024-07-04T06:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,17222.3,15.76,180.05429,1,excellent,NA,2024
AIMS,2024-05-18T17:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5338.9,6.775,0,1,excellent,C,2024
AIMS,2024-09-11T14:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,11.916,300.2480264,1,excellent,NA,2024
AIMS,2024-09-19T06:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,21355.7,13.846,245.6145098,1,excellent,NA,2024
AIMS,2024-07-22T20:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,17911.2,11.528,190.9809933,1,excellent,NA,2024
AIMS,2024-09-04T04:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,12.207,278.3946198,1,excellent,NA,2024
AIMS,2024-08-05T22:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,12.207,234.6878065,1,excellent,NA,2024
AIMS,2024-05-16T17:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5338.9,7.179,0,1,excellent,C,2024
AIMS,2024-08-02T17:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,21355.7,12.304,245.6145098,1,excellent,NA,2024
AIMS,2024-09-12T20:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,22044.6,8.68,256.5412131,1,excellent,NA,2024
AIMS,2024-06-25T20:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,15155.7,10.063,147.2757662,1,excellent,NA,2024
AIMS,2024-09-28T04:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,14.517,278.3946198,1,excellent,NA,2024
AIMS,2024-08-01T17:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,18600.1,11.819,201.9076966,1,excellent,NA,2024
AIMS,2024-07-30T12:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,19289,12.497,212.8343999,1,excellent,NA,2024
AIMS,2024-09-14T01:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,22044.6,8.082,256.5412131,1,excellent,NA,2024
AIMS,2024-09-19T12:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,21355.7,11.139,245.6145098,1,excellent,NA,2024
AIMS,2024-07-23T02:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,17222.3,12.207,180.05429,1,excellent,NA,2024
AIMS,2024-07-28T12:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,12.98,234.6878065,1,excellent,NA,2024
AIMS,2024-09-18T12:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,10.357,234.6878065,1,excellent,NA,2024
AIMS,2024-08-03T23:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,12.69,234.6878065,1,excellent,NA,2024
AIMS,2024-07-03T14:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,16533.4,9.866,169.1275867,1,excellent,NA,2024
AIMS,2024-09-08T21:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,12.207,300.2480264,1,excellent,NA,2024
AIMS,2024-09-17T13:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,21355.7,9.571,245.6145098,1,excellent,NA,2024
AIMS,2024-09-12T02:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,22044.6,9.077,256.5412131,1,excellent,NA,2024
AIMS,2024-06-23T22:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,13089,9.768,114.4956562,1,excellent,NA,2024
AIMS,2024-09-01T10:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,15.282,300.2480264,1,excellent,NA,2024
AIMS,2024-08-09T16:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,12.497,234.6878065,1,excellent,NA,2024
AIMS,2024-06-27T08:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,16533.4,14.23,169.1275867,1,excellent,NA,2024
AIMS,2024-05-11T18:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5166.7,6.166,0,1,excellent,C,2024
AIMS,2024-09-15T13:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,26178,12.98,322.101433,1,excellent,NA,2024
AIMS,2024-07-25T13:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,19289,10.651,212.8343999,1,excellent,NA,2024
AIMS,2024-06-27T10:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,16533.4,12.207,169.1275867,1,excellent,NA,2024
AIMS,2024-07-27T19:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,18600.1,10.651,201.9076966,1,excellent,NA,2024
AIMS,2024-09-28T16:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,11.334,278.3946198,1,excellent,NA,2024
AIMS,2024-09-05T21:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,22044.6,10.553,256.5412131,1,excellent,NA,2024
AIMS,2024-09-08T03:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,12.594,278.3946198,1,excellent,NA,2024
AIMS,2024-09-25T11:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,13.461,278.3946198,1,excellent,NA,2024
AIMS,2024-08-09T22:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,11.236,234.6878065,1,excellent,NA,2024
AIMS,2024-05-15T06:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,10677.8,10.944,76.2514016,1,excellent,NA,2024
AIMS,2024-07-22T14:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,17222.3,13.173,180.05429,1,excellent,NA,2024
AIMS,2024-09-15T19:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,11.041,300.2480264,1,excellent,NA,2024
AIMS,2024-07-25T19:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,17911.2,11.625,190.9809933,1,excellent,NA,2024
AIMS,2024-06-26T14:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,13777.9,11.236,125.4223595,1,excellent,NA,2024
AIMS,2024-07-30T06:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,12.401,234.6878065,1,excellent,NA,2024
AIMS,2024-09-18T01:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,18600.1,9.176,201.9076966,1,excellent,NA,2024
AIMS,2024-06-28T19:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,14466.8,8.282,136.3490629,1,excellent,NA,2024
AIMS,2024-09-20T06:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,23422.4,14.325,278.3946198,1,excellent,NA,2024
AIMS,2024-09-11T14:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,11.722,300.2480264,1,excellent,NA,2024
AIMS,2024-05-13T08:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5338.9,10.063,0,1,excellent,C,2024
AIMS,2024-07-28T03:00:00Z,STIC10,STIC,20240101-20241002,SW,21064706,16533.4,11.722,169.1275867,1,excellent,NA,2024
AIMS,2024-07-22T20:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,18600.1,11.528,201.9076966,1,excellent,NA,2024
AIMS,2024-06-24T14:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,15844.5,10.259,158.2008834,1,excellent,NA,2024
AIMS,2024-09-10T14:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,24800.2,13.173,300.2480264,1,excellent,NA,2024
AIMS,2024-05-16T17:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5338.9,7.179,0,1,excellent,C,2024
AIMS,2024-08-16T20:30:00Z,STIC10,STIC,20240101-20241002,SW,21064706,20666.8,11.139,234.6878065,1,excellent,NA,2024
AIMS,2024-05-10T23:45:00Z,STIC10,STIC,20240101-20241002,SW,21064706,5166.7,5.347,0,1,excellent,C,2024
AIMS,2024-09-12T20:15:00Z,STIC10,STIC,20240101-20241002,SW,21064706,22044.6,8.581,256.5412131,1,excellent,NA,2024
