project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-05-25T17:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.879,18.97153,1,fair,NA,2023
AIMS,2023-05-25T18:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.581,18.97153,1,fair,NA,2023
AIMS,2023-05-25T18:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.382,18.97153,1,fair,NA,2023
AIMS,2023-05-25T18:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.382,18.97153,1,fair,NA,2023
AIMS,2023-05-25T18:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.182,18.97153,1,fair,NA,2023
AIMS,2023-05-25T19:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.082,18.97153,1,fair,NA,2023
AIMS,2023-05-25T19:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,8.082,18.97153,1,fair,NA,2023
AIMS,2023-05-25T19:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.983,18.97153,1,fair,NA,2023
AIMS,2023-05-25T19:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.882,18.97153,1,fair,NA,2023
AIMS,2023-05-25T20:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.782,18.97153,1,fair,NA,2023
AIMS,2023-05-25T20:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.682,18.97153,1,fair,NA,2023
AIMS,2023-05-25T20:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.682,18.97153,1,fair,NA,2023
AIMS,2023-05-25T20:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.582,18.97153,1,fair,NA,2023
AIMS,2023-05-25T21:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.481,18.97153,1,fair,NA,2023
AIMS,2023-05-25T21:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.481,18.97153,1,fair,NA,2023
AIMS,2023-05-25T21:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.381,18.97153,1,fair,NA,2023
AIMS,2023-05-25T21:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.381,18.97153,1,fair,NA,2023
AIMS,2023-05-25T22:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.381,18.97153,1,fair,NA,2023
AIMS,2023-05-25T22:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.381,18.97153,1,fair,NA,2023
AIMS,2023-05-25T22:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.381,18.97153,1,fair,NA,2023
AIMS,2023-05-25T22:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4650,7.28,18.36307,1,fair,NA,2023
AIMS,2023-05-25T23:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.28,18.97153,1,fair,NA,2023
AIMS,2023-05-25T23:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.28,18.97153,1,fair,NA,2023
AIMS,2023-05-25T23:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4650,7.28,18.36307,1,fair,NA,2023
AIMS,2023-05-25T23:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.28,18.97153,1,fair,NA,2023
AIMS,2023-05-26T00:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.179,18.97153,1,fair,NA,2023
AIMS,2023-05-26T00:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.179,18.97153,1,fair,NA,2023
AIMS,2023-05-26T00:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.179,18.97153,1,fair,NA,2023
AIMS,2023-05-26T00:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T01:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T01:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T01:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T01:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T02:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,7.079,18.97153,1,fair,NA,2023
AIMS,2023-05-26T02:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T02:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T02:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T03:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T03:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T03:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T03:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T04:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T04:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.978,18.97153,1,fair,NA,2023
AIMS,2023-05-26T04:30:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.877,18.97153,1,fair,NA,2023
AIMS,2023-05-26T04:45:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.877,18.97153,1,fair,NA,2023
AIMS,2023-05-26T05:00:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.877,18.97153,1,fair,NA,2023
AIMS,2023-05-26T05:15:00Z,STIC09,STIC,20230101-20231231,SW,21193649,4822.3,6.877,18.97153,1,fair,NA,2023
