project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-05-08T16:30:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,8.082,287.2692312,1,good,NA,2023
AIMS,2023-05-08T16:45:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.978,287.2692312,1,good,NA,2023
AIMS,2023-05-08T17:00:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.674,287.2692312,1,good,NA,2023
AIMS,2023-05-08T17:15:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.471,287.2692312,1,good,NA,2023
AIMS,2023-05-08T17:30:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T17:45:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.268,287.2692312,1,good,NA,2023
AIMS,2023-05-08T18:00:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T18:15:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T18:30:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T18:45:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T19:00:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T19:15:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.37,287.2692312,1,good,NA,2023
AIMS,2023-05-08T19:30:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.268,287.2692312,1,good,NA,2023
AIMS,2023-05-08T19:45:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.268,287.2692312,1,good,NA,2023
AIMS,2023-05-08T20:00:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.166,287.2692312,1,good,NA,2023
AIMS,2023-05-08T20:15:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.064,287.2692312,1,good,NA,2023
AIMS,2023-05-08T20:30:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.064,287.2692312,1,good,NA,2023
AIMS,2023-05-08T20:45:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,6.064,287.2692312,1,good,NA,2023
AIMS,2023-05-08T21:00:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,5.962,287.2692312,1,good,NA,2023
AIMS,2023-05-08T21:15:00Z,STIC06,STIC,20230101-20230926,SW,20895998,28933.5,5.962,287.2692312,1,good,NA,2023
