project,siteId,datetime,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,JDR04,2024-09-23T19:00:00Z,STIC,20240101-20241010,SW,21193670,44089.2,12.69,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-04-27T17:30:00Z,STIC,20240101-20241010,SW,21193670,15155.7,8.382,84.48362988,1,excellent,NA,2024
AIMS,JDR04,2024-09-12T07:45:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.236,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-10-02T01:30:00Z,STIC,20240101-20241010,SW,21193670,42711.4,9.669,322.6600279,1,excellent,NA,2024
AIMS,JDR04,2024-09-12T10:15:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.528,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-09-11T23:30:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.722,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-09-23T07:45:00Z,STIC,20240101-20241010,SW,21193670,42711.4,10.161,322.6600279,1,excellent,NA,2024
AIMS,JDR04,2024-06-18T08:15:00Z,STIC,20240101-20241010,SW,21193670,22044.6,8.382,144.0275133,1,excellent,NA,2024
AIMS,JDR04,2024-05-31T12:15:00Z,STIC,20240101-20241010,SW,21193670,23422.4,10.748,155.9364628,1,excellent,NA,2024
AIMS,JDR04,2024-09-23T06:30:00Z,STIC,20240101-20241010,SW,21193670,42711.4,10.357,322.6600279,1,excellent,NA,2024
AIMS,JDR04,2024-06-17T00:45:00Z,STIC,20240101-20241010,SW,21193670,27555.7,9.965,191.6624471,1,excellent,NA,2024
AIMS,JDR04,2024-09-12T07:30:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.236,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-06-14T13:15:00Z,STIC,20240101-20241010,SW,21193670,33066.9,14.134,239.2982454,1,excellent,NA,2024
AIMS,JDR04,2024-09-12T10:00:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.431,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-09-11T03:45:00Z,STIC,20240101-20241010,SW,21193670,44089.2,12.69,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-05-26T10:15:00Z,STIC,20240101-20241010,SW,21193670,20666.8,7.983,132.1185637,1,excellent,NA,2024
AIMS,JDR04,2024-09-23T14:00:00Z,STIC,20240101-20241010,SW,21193670,44089.2,14.421,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-09-12T06:45:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.236,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-10-02T03:45:00Z,STIC,20240101-20241010,SW,21193670,42711.4,9.768,322.6600279,1,excellent,NA,2024
AIMS,JDR04,2024-09-11T21:30:00Z,STIC,20240101-20241010,SW,21193670,44089.2,12.013,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-09-11T22:45:00Z,STIC,20240101-20241010,SW,21193670,44089.2,11.819,334.5689774,1,excellent,NA,2024
AIMS,JDR04,2024-06-17T00:15:00Z,STIC,20240101-20241010,SW,21193670,27555.7,10.063,191.6624471,1,excellent,NA,2024
AIMS,JDR04,2024-06-16T23:30:00Z,STIC,20240101-20241010,SW,21193670,27555.7,10.161,191.6624471,1,excellent,NA,2024
