project,siteId,datetime,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,JDR14,2022-03-22T10:00:00Z,STIC,20220322-20221231,SW,21038938,5338.9,5.655,6.696406,1,good,NA,2022
AIMS,JDR14,2022-03-22T10:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,5.45,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T10:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,5.243889,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T10:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,5.037222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T11:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.933889,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T11:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.727222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T11:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.622778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T11:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.622778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T12:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.518889,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T12:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.518889,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T12:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.415,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T12:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.311111,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T13:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.311111,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T13:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.207222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T13:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.207222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T13:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.102222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T14:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.102222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T14:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.997778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T14:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,4.102222,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T14:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.997778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T15:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.997778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T15:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.997778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T15:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.997778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T15:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.892778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T16:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.892778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T16:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T16:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T16:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T17:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T17:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T17:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T17:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.787778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T18:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T18:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T18:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T18:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T19:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T19:15:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T19:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T19:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T20:00:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T20:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.682778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T20:30:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T20:45:00Z,STIC,20220322-20221231,SW,21038938,5166.7,3.682778,5.944063,1,good,NA,2022
AIMS,JDR14,2022-03-22T21:00:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.682778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T21:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T21:30:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T21:45:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T22:00:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T22:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T22:30:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T22:45:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T23:00:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T23:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T23:30:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-22T23:45:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T00:00:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T00:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T00:30:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T00:45:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T01:00:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T01:15:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
AIMS,JDR14,2022-03-23T01:30:00Z,STIC,20220322-20221231,SW,21038938,4994.5,3.577778,5.191719,1,good,NA,2022
